"cuenta";"descripcion";"cuentaesp"
"512110";"Alimentación";""
"512111";"Jubilación patronal";""
"512112";"Bonificaciones";""
"512113";"Provisión para jubilación patronal y desahucio";""
"512114";"Comisiones a trabajadores";""
"512115";"Indemnizaciones laborales";""
"512116";"Capacitación al personal";""
"512117";"Otros beneficios a empleados";""
"512201";"Depreciación de edificios";""
"512202";"Depreciación de muebles y enseres";""
"512203";"Depreciación de equipo de oficina";""
"512204";"Depreciación de equipo de computación";""
"512205";"Depreciación de vehículos y equipo de transporte";""
"512206";"Mantenimiento y reparaciones";""
"512207";"Depreciación de maquinaria y equipo";""
"512208";"Depreciación de instalaciones";""
"512209";"Depreciación de activos por derecho de uso";""
"512210";"Depreciación de propiedades de inversión";""
"512211";"Amortización de activos intangibles";""
"512301";"Servicios personales y profesionales";""
"512302";"Servicios técnicos y especializados";""
"512303";"Honorarios profesionales";""
"512304";"Arrendamiento de inmuebles a personas naturales";""
"512305";"Arrendamiento de inmuebles a sociedades";""
"512306";"Comisiones pagadas a sociedades";""
"512307";"Promoción y publicidad";""
"512308";"Combustibles";""
"512309";"Lubricantes";""
"512310";"Arrendamiento mercantil local";""
"512311";"Arrendamiento mercantil del exterior";""
"512312";"Seguros y reaseguros";""
"512313";"Suministros y materiales";""
"512314";"Transporte y mensajería";""
"512315";"Gastos de gestión";""
"512316";"Gastos de viaje";""
"512317";"Agua, energía y telecomunicaciones";""
"512318";"Notarios y registros de la propiedad o mercantiles";""
"512319";"Impuestos, tasas, contribuciones y otros";""
"512320";"Depreciación de otras propiedades, planta y equipo";""
"512321";"Depreciación acelerada no deducible";""
"512322";"Amortización de inversiones y otros activos";""
"512323";"Deterioro de cuentas por cobrar";""
"512324";"Pérdida por diferencia de cambio";"CAMNEG"
"512325";"Gastos y comisiones bancarias";"GTOBAN"
"512326";"Pérdida en liquidaciones de tarjeta";"DIFTAP"
"512327";"Intereses pagados a terceros locales";""
"512328";"Intereses pagados a terceros del exterior";""
"512329";"Gastos sujetos a reembolso locales - informativo";""
"512330";"Gastos sujetos a reembolso del exterior - informativo";""
"512331";"Provisiones deducibles";""
"512332";"Otros gastos locales";""
"512333";"Otros gastos del exterior";""
"512334";"IVA cargado al gasto";""
"512335";"Pérdida en venta de propiedades, planta y equipo";""
"512336";"Pérdida de cartera";""
"512337";"Licencias, software y suscripciones";""
"512338";"Servicios digitales y alojamiento web";""
"512339";"Seguridad y vigilancia";""
"512340";"Servicios legales y auditoría";""
"512341";"Servicios tercerizados";""
"512342";"Deterioro de propiedades, planta y equipo";""
"512343";"Deterioro de activos intangibles";""
"512344";"Deterioro de inventarios";""
"512345";"Garantías sobre bienes y servicios";""
"512346";"Gestión ambiental y desmantelamiento";""
"512347";"Donaciones";""
"512348";"Gastos no deducibles";""
"512349";"Otros gastos administrativos y de venta";""
"513101";"Materia prima directa utilizada";""
"513102";"Materiales directos utilizados";""
"513103";"Importaciones de materia prima";""
"513201";"Sueldos y beneficios de mano de obra directa";""
"513202";"Aportes y beneficios sociales de mano de obra directa";""
"513301";"Mano de obra indirecta";""
"513302";"Depreciación de activos de producción";""
"513303";"Mantenimiento de activos de producción";""
"513304";"Servicios básicos de producción";""
"513305";"Suministros y repuestos de producción";""
"513306";"Otros costos indirectos de fabricación";""
"514101";"Mano de obra directa de servicios";""
"514102";"Materiales utilizados en servicios";""
"514103";"Servicios de terceros asociados";""
"514104";"Depreciación y amortización asociada a servicios";""
"514105";"Otros costos directos de servicios";""
"515101";"Pérdida por valor neto realizable de inventarios";""
"515102";"Bajas y obsolescencia de inventarios";""
"515103";"Diferencias de inventario";""
"515104";"Costos anormales de producción";""
"521101";"Intereses y comisiones bancarias locales";""
"521102";"Intereses y comisiones financieras del exterior";""
"521103";"Intereses de préstamos de terceros";""
"521104";"Intereses de pasivos por arrendamiento";""
"521105";"Costos de financiamiento de activos";""
"521106";"Otros gastos financieros";""
"522101";"Pérdida en venta de inversiones";""
"522102";"Pérdida por medición a valor razonable";""
"522103";"Pérdida en venta de activos intangibles";""
"522104";"Pérdida en venta de otros activos";""
"522199";"Otras pérdidas";""
"523101";"Deterioro de activos financieros";""
"523102";"Deterioro de propiedades de inversión";""
"523103";"Deterioro de activos biológicos";""
"523104";"Otras pérdidas por deterioro";""
"524101";"Multas, recargos e intereses tributarios";""
"524102";"Gastos extraordinarios";""
"524199";"Otros gastos no operacionales";""
"531101";"15% participación de trabajadores del ejercicio";""
"532101";"Gasto por impuesto a la renta corriente";""
"533101";"Gasto por impuesto a la renta diferido";""
"533102";"Ingreso por impuesto a la renta diferido";""
"541101";"Gastos de operaciones discontinuadas";""
"611101";"Bienes y valores entregados en garantía";""
"611102";"Bienes de terceros en custodia";""
"611103";"Documentos descontados";""
"611104";"Demandas y contingencias a favor";""
"611105";"Créditos tributarios no reconocidos";""
"611199";"Otras cuentas de orden deudoras";""
"711101";"Contracuenta de bienes y valores en garantía";""
"711102";"Responsabilidad por bienes de terceros";""
"711103";"Responsabilidad por documentos descontados";""
"711104";"Demandas y contingencias en contra";""
"711105";"Contracuenta de créditos tributarios no reconocidos";""
"711199";"Otras cuentas de orden acreedoras";""
