"cuenta";"descripcion";"cuentaesp"
"3321";"ADOPCIÓN POR PRIMERA VEZ DE NIIF";""
"333";"AJUSTES DE EJERCICIOS ANTERIORES";""
"3331";"AJUSTES Y CORRECCIONES DE AÑOS ANTERIORES";""
"34";"OTROS RESULTADOS INTEGRALES";""
"341";"SUPERÁVIT POR REVALUACIÓN";""
"3411";"SUPERÁVIT POR REVALUACIÓN DE ACTIVOS";""
"342";"OTROS RESULTADOS INTEGRALES";""
"3421";"OTROS COMPONENTES DEL RESULTADO INTEGRAL";""
"35";"PARTICIPACIÓN NO CONTROLADORA";""
"351";"PARTICIPACIÓN NO CONTROLADORA";""
"3511";"PARTICIPACIÓN NO CONTROLADORA";""
"4";"INGRESOS";""
"41";"INGRESOS DE ACTIVIDADES ORDINARIAS";""
"411";"VENTA DE BIENES";""
"4111";"VENTAS";"VENTAS"
"4112";"DESCUENTOS EN VENTAS";""
"4113";"DEVOLUCIONES EN VENTAS";"DEVVEN"
"4114";"RECARGOS Y OTROS INGRESOS EN VENTAS";""
"412";"PRESTACIÓN DE SERVICIOS";""
"4121";"INGRESOS POR SERVICIOS";""
"413";"CONTRATOS DE CONSTRUCCIÓN";""
"4131";"INGRESOS POR CONSTRUCCIÓN";""
"414";"EXPORTACIONES";""
"4141";"EXPORTACIONES DE BIENES Y SERVICIOS";""
"415";"OTROS INGRESOS ORDINARIOS";""
"4151";"REGALÍAS, COMISIONES Y OTROS INGRESOS";""
"416";"SUBVENCIONES DEL GOBIERNO";""
"4161";"SUBVENCIONES RECONOCIDAS EN RESULTADOS";""
"42";"OTROS INGRESOS";""
"421";"INGRESOS FINANCIEROS Y OTROS";""
"4211";"INGRESOS FINANCIEROS";""
"4212";"OTROS INGRESOS";""
"422";"GANANCIAS EN MEDICIÓN Y REVALUACIÓN";""
"4221";"GANANCIAS POR VALOR RAZONABLE";""
"423";"GANANCIAS EN VENTA DE ACTIVOS";""
"4231";"GANANCIAS EN VENTA DE ACTIVOS";""
"424";"REVERSIÓN DE DETERIORO Y PROVISIONES";""
"4241";"REVERSIÓN DE PÉRDIDAS Y PROVISIONES";""
"43";"OPERACIONES DISCONTINUADAS - INGRESOS";""
"431";"INGRESOS DE OPERACIONES DISCONTINUADAS";""
"4311";"INGRESOS DE OPERACIONES DISCONTINUADAS";""
"5";"COSTOS Y GASTOS";""
"51";"COSTOS DE VENTAS, PRODUCCIÓN Y SERVICIOS";""
"511";"COSTO DE VENTAS";""
"5111";"COSTO DE BIENES VENDIDOS";"COMPRA"
"5112";"DESCUENTOS EN COMPRAS";""
"5113";"DEVOLUCIONES EN COMPRAS";"DEVCOM"
"5114";"RECARGOS Y COSTOS DIRECTOS DE COMPRA";""
"512";"GASTOS DE VENTA Y ADMINISTRACIÓN";""
"5121";"GASTOS DE PERSONAL";""
"5122";"DEPRECIACIONES, AMORTIZACIONES Y MANTENIMIENTO";""
"5123";"GASTOS GENERALES Y ADMINISTRATIVOS";""
"513";"COSTOS DE PRODUCCIÓN";""
"5131";"MATERIALES DIRECTOS";""
"5132";"MANO DE OBRA DIRECTA";""
"5133";"COSTOS INDIRECTOS DE FABRICACIÓN";""
"514";"COSTOS DE PRESTACIÓN DE SERVICIOS";""
